title,revenue,screen,open,country,mpaa,genre,plot
방황의 날들,5036000.0,20.0,2007,한국,15세관람가,드라마,미국으로 건너온 한 한국 여성의 이야기  가장 친한 친구와 사랑에 빠지면서 둘 사이에 미묘한 긴장이 생기고  거기에 새로운 미국생활에 적응해야 하는 어려움이 겹치면서 겪게 되는 복잡한 심리를 그렸다  외국의 낯선 공간에서 삶에 적응하기 위해 노력하면서 원하지 않게 생긴 감정들과 대면하는 방황하는 청춘들의 이야기  에이미는 한국에서 미국으로 온 지 얼마 되지 않았다  그녀의 유일한 친구는 마찬가지로 미국에 온 지 얼마 안 된 트란이다  에이미는 트란에 대해 급작스럽게 이상한 애정이 생기는 것을 느낀다  두 사람은 서로의 우정이 변하는 것을 두려워하며  동시에 새로운 나라의 요구에 자신들이 짓눌려가는 것에 불안을 느낀다  비슷한 소재의 작품들에서 흔히 볼 수 없었던 진실성을 보여주는 인상적인 영화다 
녹색의자 2013 - 러브 컨셉츄얼리,1144000.0,22.0,2013,한국,18세관람가,멜로,서른넷 그녀  열 아홉 순수에 젖다  미국에서 유학하고 돌아와 입시 미술학원을 운영하는 매력적인 여자 문희는 이혼해 주지 않는 남편과 별거하며 오랜 연인인 인규와 사제지간 이상의 관계를 가져온 윤 교수 사이를 오가며 자유로운 연애를 즐긴다   한편 그녀의 어린 학생 주원은 수업시간에 늘 문희의 얼굴만 그린다  어린 시절 할머니를 따라간 예식장에서 신부 문희를 보고 첫눈에 반한 주원은 그녀를 만나기 위해 미술을 시작했고 학원까지 다니게 됐다며 문희와의 만남이 운명적 이었음을 솔직히 고백한다  그런 주원의 순수한 모습에 조금씩 마음을 빼앗긴 문희는 어느 날 둘만 남겨진 화실에서 서로의 사랑을 하고 헤어나올 수 없는 탐닉에 젖어 드는데 
1991  봄,1.14466E7,159.0,2018,한국,12세관람가,기타,1987년 승리의 함성이 사그라진 1991년의 봄  국가의 불의에 저항하던 11명의 청춘들이 스러진다  국가는 27살 청년 강기훈을 배후로 지목한다  유서대필과 자살방조라는 사법사상 유일무이한 혐의  시시한 진실보다 재밌는 거짓이 만개했던 봄  아무도 울지 못했다  24년이 흐른 2015년의 봄  51살 강기훈은 최종 무죄가 된다  하지만 그에게 남은 건 암세포와 6줄의 기타뿐  그는 말하기를 멈추고 기타를 잡는다  못다 핀 꽃들을 위한 애도가 시작된다 
맹글혼,1.37075E7,226.0,2015,미국,15세관람가,드라마,오래 전  사랑하던 여인 클라라를 잃은 후 슬픔 속에서 평생 외롭게 혼자 살아가는 열쇠 수리공 맹글혼 알 파치노   고집불통인 성격 탓에 하나뿐인 아들에게도 아버지로서 인정 받지 못한 그는 클라라와 함께했던 자신의 인생에서 가장 빛났던 순간만을 추억하며 그녀에게 편지를 쓰지만  갈 곳을 잃어버린 편지는 매번 반송되어 오고 그는 멈춰버린 시간 속에 갇힌 채 살아간다  그러던 어느 날  맹글혼에게 마법 같은 변화가 일어나기 시작한다 은행 직원 던 홀리 헌터 과의 새로운 만남에 용기를 얻은 그는 서로에게 소홀했던 아들과의 점심식사 자리를 만들고 어린 손녀와의 공원 데이트까지 즐기며  뒤늦지만 아버지로서 가족들에게 다가간다  하지만  사랑하는 법에 익숙하지 못한 맹글혼은 모든 일을 엉망으로 망치고 아들과 손녀는 물론 던에게까지 상처를 안겨 주며 또 다시 과거의 기억 속에 자신을 가두려고 하는데   2015년 11월  삶의 가장 빛나는 순간이 열린다 
스파이더위크가의 비밀,1.6099995E9,1115.0,2008,미국,전체관람가,어드벤처,조심하라  그들의 세계는 상상보다 가까이 있다 뉴욕을 떠나 쓰러져가는  아서 스파이더위크 의 저택으로 이사온 그레이스가의 삼남매  쌍둥이 형 자레드 프레디 하이모어 는 이상한 기운이 흘러 나오는 저택 안에서 절대 열어보지 말라는 경고와 함께 단단히 봉인되어 있는 비밀의 책을 발견한다  호기심을 이기지 못하고 책장을 펼친 자레드    그날부터 존재조차 몰랐던 무언가가 삼남매의 눈에 보이기 시작하고  정체를 알 수 없는 그들로부터 끊임없는 공격을 받게 되는데     과연 삼남매는 스파이더위크가의 비밀을 풀고 위험에서 살아남을 수 있을까 
안녕?! 오케스트라,2.76115E7,317.0,2013,한국,전체관람가,기타, 너희가 모두 함께 박자를 잘 느낄 수 있다면 그게 좋은 앙상블이 되는 거야  세계가 주목하는 비올리스트 리처드 용재 오닐과 천방지축 24명의 아이들이 겁 없는 도전을 시작하다 항상 모자를 쓰고 다니는 선욱이  상상 속의 친구와 대화하는 원태  가끔 아빠가 그리운 준마리  외모도  성격도  가정환경도 모두 다른 24명의 아이들이 오케스트라를 하기 위해 한 자리에 모였다  그리고 세계적으로 유명한 비올리스트 리처드 용재 오닐이 멘토이자 총 지휘자가 되기로 한다  악보를 읽을 줄도  악기를 다룰 줄 도 모르는 아이들은 당장 3개월 뒤에 수많은 관객들 앞에서 연주를 해야 하는 큰 과제가 주어지는데 과연 용재 쌤과 아이들은 이 미션을 무사히 성공할 수 있을까 
배꼽과 무릎사이,4.2577E7,85.0,2014,한국,18세관람가,멜로,조선시대  사랑을 믿지 않는 양반 3인의 위험한 내기  조선남녀 애정지사  풍기문란 연애담이 시작된다  절친한 벗 장원과 최민  그리고 최민의 부인 은혜는 지루한 삶에서 벗어나기 위해 위험한 내기를 시작한다  목숨을 건 내기  동짓달이 뜨기 전 정절녀로 소문이 자자한 유부인의 배꼽과 무릎 사이를 탐하라  하지만 내기는 예상과는 전혀 다른 방향으로 흘러가고  사랑을 장난처럼 내건 자들이 진짜 사랑을 알아가게 되는데 
비념,6035000.0,116.0,2013,한국,15세관람가,기타,4 3 사건으로 상처 입은 제주도와 제주사람들    그리고 지금 아프게 부서져 가는 강정마을의 이야기 제주시 애월읍 납읍에 살고 계신 강상희 할머니  할머니의 남편 김봉수는 4 3으로 희생되었다  해군기지 문제로 떠들썩한 서귀포시 강정마을   4 3의 원혼이 통곡한다  와 같은 수많은 현수막이 제주 4 3과 해군기지 문제가 다르지 않음을 말한다  카메라는 유령처럼 제주도 납읍리  가시리  강정마을  일본 오사카 등을 돌며 그 흔적과 균열들을 드러내기 시작하고 다시 강상희 할머니가 혼자 살고 있는 집 앞마당으로 돌아온다  언제부터인지 알 수 없지만 잠자리 밑에 녹슨 톱을 두고 살아온 할머니의 삶    가늠할 수 없는 깊은 슬픔을 짊어진 제주도와 제주사람들의 삶에서 녹슨 톱은 언제쯤 치워질 수 있을까 
뜨거운녀석들,4.66453E8,706.0,2007,기타,18세관람가,코미디,정의를 위한 두 남자의 거침없는 삽질  런던에서 잘나가는 경찰 니콜라스 엔젤 사이몬 페그 은 몸을 사리지 않는 근성과 동물적인 감각으로 검거율 400 라는 경이적인 기록을 세우며 승승장구하지만 경찰청 간부들과 동료들의 견제를 받아 시골로 좌천된다  그가 부임한 곳은 범죄율 제로를 자랑하는 아름답고 평화로운 마을 샌드포드  좀 덜 떨어진듯한 순둥이 경찰 대니 버터맨 닉 프로스트 과 파트너가 되어 마을 축제의 안전관리  실종된 백조 수색 등의 무료한 업무에 전전하던 어느 날  끔찍한 사고들이 연이어 발생한다  평화롭기만 하던 마을의 이면에는 엄청난 비밀이 숨겨져 있는데   
레이크 하우스,6.683795E8,884.0,2006,미국,12세관람가,멜로,할리우드를 매료시킨 한국영화 최초의 리메이크   2004년의 남자    2006년의 여자    올가을  그리움이 사랑이 된다    2004년의 남자 Vs 2006년의 여자   그들의 사랑이 이루어지는 최고의 순간    한국영화 최초 할리우드 리메이크   2004년의 남자    2006년의 여자    시공을 초월한 신비한 사랑  2006년 겨울 아침  호수 위의 집에 살던 의사 케이트 포레스터 산드라 블록 는 시카고의 병원 생활을 위해 집을 떠나야 하는 것이 못내 아쉽다  다음 세입자에게 자기 앞으로 오는 우편물을 챙겨달라는 것과 현관 앞의 강아지 발자국은 이사오기 전부터 있었다는 설명을 적어 우편함에 넣는다  뒤 이어 호수 위의 집으로 오게 된 건축가 알렉스 와일러 키아누 리브스 는 케이트의 편지와는 달리 오랫동안 사람이 살지 않아 잡풀이 무성하고 강아지의 발자국이란 어디를 찾아봐도 보이지 않아 당황한다  그러나 며칠 후  페인트 칠을 하고 있을 때 집 잃은 강아지가 현관을 밟고 지나가 그 자리에 발자국이 남자 알렉스는 우편함으로 주고받은 편지를 통해 케이트가 2004년 자신과 2년이나 떨어진 시간에 있음을 알게 된다  어느새 서로에게 특별한 감정을 느끼게 된 그들은 다른 시간의 차이를 극복해보기로 하는데   
에덴: 로스트 인 뮤직,6566200.0,71.0,2015,기타,18세관람가,드라마, 일렉음악의 기계적 면과 사람이 가진 온기의 조화가 좋아요  그 차가움과 따뜻함  1990년대 파리  EDM을 하는 DJ 폴은 듀오 Cheers를 결성해 음악  친구 그리고 사랑에 몰두하며 살아간다  누구보다 행복한 순간의 정점에 있던 어느 날  예상치 못했던 상실을 마주하는데  그 때  모두가 다프트 펑크는 될 수 없었다
엠파이어 스테이트,4.15468E7,449.0,2014,미국,18세관람가,액션,전대미문  뉴욕 한복판에서 삼천만 달러가 사라졌다  전세계를 충격에 빠뜨린 놀라운 범죄 실화 블록버스터  1982년 뉴욕 퀸즈에 있는 현금수송차량회사에서 3천만 달러가 사라졌다  당시 기준으로 사상 최대의 현금 절도 사건이 벌어지자 북미 전체가 이 사건이 주목하기 시작한다  그리고 이 사건의 중심에 서 있는 것은 바로 현금수송차량회사의 경호원 크리스 리암 헴스워스   절친한 친구 에디 마이클 안가라노 와 함께 자신이 일하고 있는 회사의 돈을 털어낸 그는 유유히 돈과 함께 떠나려고 했으나 베테랑 NYPD 제임스 드웨인 존슨 에게 덜미를 잡힌다  이제 크리스와 에디는 자신들을 추적하는 경찰과 자신들에게서 돈을 뺏으려는 범죄 조직 사이에서 어떻게든 살아남아야만 한다 
