index,arctan_1,arctan_2,arctan_3,arctan_4,arctan_5,arctan_6,arctan_7,arctan_8,arctan_9,arctan_10,arctan_11,arctan_12,arctan_13,arctan_14,arctan_15,arctan_16,arctan_17,arctan_18,arctan_19,arctan_20,arctan_21,arctan_22,arctan_23,arctan_24,arctan_25,arctan_26,arctan_27,arctan_28,arctan_29,arctan_30,arctan_31,arctan_32,arctan_33,arctan_34,arctan_35,arctan_36,arctan_37,arctan_38,arctan_39,arctan_40,arctan_41,arctan_42,arctan_43,arctan_44,arctan_45,arctan_46,arctan_47,arctan_48,arctan_49,arctan_50,arctan_51,arctan_52,arctan_53,arctan_54,arctan_55,arctan_56,arctan_57,arctan_58,arctan_59,arctan_60,arctan_61,arctan_62,arctan_63,arctan_64,arctan_65,arctan_66,arctan_67,arctan_68,arctan_69,arctan_70,arctan_71,arctan_72,arctan_73,arctan_74,arctan_75,arctan_76,arctan_77,arctan_78,arctan_79,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,distance_11,distance_12,distance_13,distance_14,distance_15,distance_16,distance_17,distance_18,distance_19,distance_20,distance_21,distance_22,distance_23,distance_24,distance_25,distance_26,distance_27,distance_28,distance_29,distance_30,distance_31,distance_32,distance_33,distance_34,distance_35,distance_36,distance_37,distance_38,distance_39,distance_40,distance_41,distance_42,distance_43,distance_44,distance_45,distance_46,distance_47,distance_48,distance_49,distance_50,distance_51,distance_52,distance_53,distance_54,distance_55,distance_56,distance_57,distance_58,distance_59,distance_60,distance_61,distance_62,distance_63,distance_64,distance_65,distance_66,distance_67,distance_68,distance_69,distance_70,distance_71,distance_72,distance_73,distance_74,distance_75,distance_76,distance_77,distance_78,distance_79
1,-0.183943457,-0.105984358,-0.063743313,-0.107689871,-0.071307465,0.0,0.0,0.674740942,1.570796327,1.911178265,1.870572397,1.892546881,1.884072508,1.841743177,1.867860539,1.902855794,2.034443936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.86892773,23.6326046,23.54782368,18.60779407,14.03566885,8.5,5.5,3.201562119,12.0,25.46075411,28.78367593,31.6227766,37.31621631,28.02231254,25.62225595,15.33786165,10.0623059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.003204102,1.81577499,1.58666801,1.554404352,1.346561576,1.261093382,1.012197011,0.679413805,0.154996742,-0.026309717,-0.519146114,-0.814801452,-1.157107114,-1.48013644,-1.570796327,-1.84622243,-2.059130278,-2.316215803,-2.595937599,-2.831889709,3.141592654,3.141592654,3.082836831,2.677945045,2.181522291,1.735945004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.47673159,28.86173938,31.503968,30.50409809,29.23183196,26.2488095,18.86796226,16.71077497,16.19413474,19.00657781,24.18677324,24.05202694,22.38861318,22.09072203,24.5,23.90083681,18.11767093,17.69180601,16.37833935,13.12440475,17.5,11.5,8.514693183,5.590169944,6.103277808,12.16552506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.141592654,3.141592654,2.79014786,2.342110914,2.137525544,1.999574354,1.824470423,1.570796327,1.48013644,0.305878871,-0.120623669,-0.638319808,-0.842478946,-1.107148718,-1.227772386,-1.292496668,-1.292496668,-1.446441332,-1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,1.570796327,1.623379388,1.607143948,1.570796327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,12.0,15.97654531,25.10478042,26.07680962,19.2418814,13.94632568,10.0,5.522680509,9.962429423,16.62077014,19.30025907,24.78911051,19.00657781,14.86606875,10.92016483,7.280109889,4.031128874,1.0,4.5,22.5,26.5,29.0,29.5,31.5,28.53944639,27.51817581,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.301703034,2.127395645,2.012388689,1.902855794,1.823871979,1.739003099,1.698305885,1.570796327,1.570796327,0.938047492,0.205395389,0.0,-0.146012258,-0.580002774,-0.729899658,-0.994421106,-1.396124128,-1.570796327,-2.119345729,-2.586098918,-2.922923708,3.141592654,2.961739154,2.411692995,1.789465273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.47434209,26.5,30.41792235,30.6757233,29.9541316,26.87936011,19.65960325,14.0,10.0,9.300537619,12.25765067,17.0,17.18284028,17.33493582,12.74754878,11.92686044,8.631338251,9.5,10.54751155,17.06604817,18.43908891,19.5,16.77050983,12.74754878,13.82931669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.525373047,1.425983829,1.434393722,-1.813931108,1.570796327,0.0,1.588338387,1.604117323,1.609238917,1.593014892,1.570796327,1.570796327,1.176005207,0.463647609,0.0,-0.339292614,-0.370891289,-0.348771004,-0.380506377,-0.442374223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.02271555,24.25386567,25.73907535,197.3030664,20.5,0.0,28.50438563,30.01666204,26.01922366,22.50555487,16.5,10.5,6.5,5.590169944,11.5,18.02775638,19.31320792,17.55704987,13.46291202,10.51189802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.703347859,1.647568218,1.623379388,1.570796327,1.212025657,0.426627493,0.058755823,0.078783961,0.130827396,0.266252049,0.429762279,0.674740942,0.996491497,1.570796327,1.96140337,2.245537269,2.471071096,2.634494149,2.819842099,3.09400955,3.141592654,3.141592654,-1.81577499,-1.64172975,-0.264488383,0.0,-0.127509558,-0.073040565,0.0,0.0,0.2153577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.69911893,19.55760722,19.02629759,11.5,8.544003745,12.08304597,17.02938637,19.05911855,19.1637679,17.10263138,13.20037878,9.604686356,10.12422837,12.5,18.38477631,25.61249695,18.50675552,20.59126028,14.23024947,10.51189802,7.5,5.5,10.30776406,190.4790015,24.86463352,0.0,19.65960325,20.55480479,18.0,16.0,16.37833935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.899349497,1.774814306,1.681453548,1.588338387,1.570796327,1.570796327,1.333947566,1.004067109,0.643501109,0.334736837,0.043450895,0.0,-0.614662952,-0.785398163,-1.03907226,-1.41419445,-1.570796327,-1.951302704,-2.452668265,-2.539305307,-2.887918557,3.141592654,2.936197264,2.55359005,2.35619449,1.892546881,1.460139106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2432786,29.61418579,31.69384798,28.50438563,26.5,19.0,14.91643389,13.03840481,12.5,12.17579566,11.51086443,11.0,10.40432602,8.485281374,9.861541462,9.617692031,10.0,10.77032961,11.01135777,9.708243919,13.94632568,16.0,12.25765067,10.81665383,7.071067812,6.32455532,9.055385138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.939271025,2.642245932,2.441699784,2.153149273,1.999574354,1.716808585,1.501939837,0.643501109,0.321750554,0.229904428,0.313620652,0.475695219,0.69989287,1.030376827,1.418146998,1.837048376,2.405335225,2.414950313,2.611376881,2.806855816,3.024483909,3.141592654,-2.999695599,-1.570796327,-1.473878699,-1.270625156,-1.218752012,-1.089132649,-1.126377117,-1.178456183,-1.343997479,-1.423717971,-1.570796327,-1.570796327,-1.570796327,-1.735945004,-1.892546881,-2.55359005,2.863292995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.90602924,25.05992817,24.8394847,24.54587542,19.2418814,17.18284028,14.53444185,17.5,25.29822128,24.13503677,19.44865034,18.56071119,12.41974235,8.746427842,6.576473219,11.40175425,21.59282288,18.06239187,16.80773631,12.17579566,8.558621384,6.0,3.535533906,11.5,36.16973873,21.98294794,26.10076627,24.82438317,23.2594067,15.69235483,13.34166406,13.64734406,17.5,12.5,13.5,6.08276253,3.16227766,1.802775638,3.640054945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.655695626,-0.748378048,-0.785398163,-0.785398163,-0.832981267,-0.927295218,-0.588002604,0.0,1.570796327,1.570796327,1.722171771,1.698305885,1.671899699,1.664857561,1.695151321,1.735945004,1.742987141,1.712693381,1.570796327,1.570796327,1.570796327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.200609733,9.552486587,12.02081528,10.60660172,7.433034374,2.5,1.802775638,1.0,5.5,17.5,29.84124662,39.3192065,34.67708177,26.61766331,24.18677324,15.20690633,11.67261753,7.071067812,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2.319174374,2.129395642,1.860299999,1.570796327,1.527345431,0.960070362,0.479519292,0.224711168,0.28897541,0.408149104,0.674740942,0.902506908,1.405647649,1.570796327,2.191045813,2.498091545,2.709184878,2.944197094,3.141592654,3.141592654,-2.236765564,-1.789465273,-1.570796327,-1.425983829,-1.347319726,-1.347319726,-1.352127381,-1.319106355,-1.455919721,-1.570796327,-1.570796327,-2.279422599,3.141592654,2.850135859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.10497317,18.86796226,24.52039967,16.5,11.51086443,12.20655562,14.0890028,17.95132307,19.30025907,20.15564437,19.20937271,12.10371844,12.16552506,11.5,12.9034879,15.0,14.31782106,12.74754878,10.5,9.0,8.902246907,13.82931669,20.0,24.25386567,22.56102835,22.56102835,23.04886114,18.069311,13.08625233,9.0,6.0,4.609772229,7.5,15.66045976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
