id,release_date,revenue,runtime,title
1374,1985-11-21,3.00473716E8,91.0,Rocky IV
1387,1988-04-30,0.0,43.0,Superstar: The Karen Carpenter Story
1639,1997-06-13,1.64508066E8,121.0,Speed 2: Cruise Control
1732,1979-08-17,0.0,108.0,The Prisoner of Zenda
2259,1993-10-19,0.0,140.0,The House of the Spirits
2355,2007-03-23,2.2222308E7,124.0,Reign Over Me
2460,1996-05-20,0.0,125.0,Earth
2668,1999-11-18,2.06071502E8,105.0,Sleepy Hollow
3146,1966-07-31,0.0,88.0,The War of the Gargantuas
3176,2000-12-16,2.5E7,114.0,Battle Royale
3179,1996-12-15,0.0,81.0,Beavis and Butt-Head Do America
3865,2006-03-24,0.0,105.0,Dark Blue Almost Black
277,2003-09-19,9.5708457E7,121.0,Underworld
524,1995-11-22,1.16112375E8,178.0,Casino
531,1993-12-17,0.0,30.0,The Wrong Trousers
914,1940-10-15,1.1E7,125.0,The Great Dictator
919,2000-11-18,0.0,48.0,Blood: The Last Vampire
1259,2006-12-25,4.9469904E7,92.0,Notes on a Scandal
1265,2007-02-16,1.37587063E8,96.0,Bridge to Terabithia
1961,2007-10-01,173066.0,86.0,My Name Is Bruce
2761,1936-06-12,0.0,86.0,Secret Agent
3114,1956-03-13,0.0,119.0,The Searchers
3396,2003-09-07,0.0,80.0,The Yes Men
4886,1945-10-31,0.0,97.0,And Then There Were None
4993,1968-07-28,0.0,103.0,5 Card Stud
594,2004-06-17,2.19417255E8,128.0,The Terminal
2038,1992-01-09,0.0,98.0,Iron Eagle III
2861,1982-05-19,0.0,97.0,A Good Marriage
3175,1975-12-18,2.0E7,184.0,Barry Lyndon
2,1988-10-21,0.0,69.0,Ariel
5,1995-12-09,4300000.0,98.0,Four Rooms
6,1993-10-15,1.2136938E7,110.0,Judgment Night
11,1977-05-25,7.75398007E8,121.0,Star Wars
14,1999-09-15,3.56296601E8,122.0,American Beauty
16,2000-05-17,4.0031879E7,140.0,Dancer in the Dark
19,1927-01-10,650422.0,153.0,Metropolis
21,1966-06-15,0.0,95.0,The Endless Summer
22,2003-07-09,6.55011224E8,143.0,Pirates of the Caribbean: The Curse of the Black Pearl
25,2005-11-04,9.6889998E7,125.0,Jarhead
82,2006-07-27,1.63794509E8,134.0,Miami Vice
95,1998-07-01,5.53799566E8,151.0,Armageddon
101,1994-09-14,4.5284974E7,110.0,Leon: The Professional
104,1998-08-20,7267585.0,81.0,Run Lola Run
107,2000-09-01,8.3557872E7,103.0,Snatch
111,1983-12-08,6.5884703E7,170.0,Scarface
112,2000-12-07,0.0,112.0,Italian for Beginners
123,1978-11-15,3.047142E7,132.0,The Lord of the Rings
145,1996-05-13,3803298.0,159.0,Breaking the Waves
149,1988-07-16,553171.0,124.0,Akira
157,1984-05-31,8.7E7,105.0,Star Trek III: The Search for Spock
160,1896-01-25,0.0,1.0,The Arrival of a Train at La Ciotat
162,1990-12-05,5.3E7,105.0,Edward Scissorhands
163,2004-12-09,3.6274428E8,125.0,Ocean"s Twelve
164,1961-10-05,9500000.0,110.0,Breakfast at Tiffany"s
170,2002-10-31,8.2719885E7,113.0,28 Days Later
172,1989-06-09,7.02E7,107.0,Star Trek V: The Final Frontier
175,1988-05-11,0.0,168.0,The Big Blue
176,2004-10-01,1.03911669E8,103.0,Saw
180,2002-06-20,3.58372926E8,145.0,Minority Report
193,1994-11-17,1.2E8,118.0,Star Trek: Generations
196,1990-05-25,2.44527583E8,118.0,Back to the Future Part III
198,1942-03-05,0.0,99.0,To Be or Not to Be
214,2006-10-27,1.63876815E8,108.0,Saw III
215,2005-10-28,1.52925093E8,92.0,Saw II
216,1974-03-05,0.0,93.0,Ali: Fear Eats the Soul
231,2005-11-23,9.4E7,128.0,Syriana
232,1983-10-20,2494480.0,94.0,Rumble Fish
233,23000000,117.0,null,FALSE
237,2003-09-26,2500000.0,93.0,Young Adam
252,1971-06-29,4000000.0,100.0,Willy Wonka & the Chocolate Factory
260,1935-06-01,0.0,86.0,The 39 Steps
288,1952-03-27,8000000.0,85.0,High Noon
293,1992-10-09,4.3440294E7,123.0,A River Runs Through It
306,1994-05-24,1.19208989E8,104.0,Beverly Hills Cop III
307,1945-09-27,0.0,100.0,Rome_ Open City
308,2005-05-17,4.5742101E7,105.0,Broken Flowers
316,2002-02-12,0.0,111.0,Grill Point
322,2003-10-07,1.5682202E8,138.0,Mystic River
329,1993-06-11,9.201E8,127.0,Jurassic Park
335,1968-12-21,5321508.0,175.0,Once Upon a Time in the West
342,2004-09-02,0.0,98.0,Summer Storm
380,1988-12-11,4.128E8,133.0,Rain Man
429,1966-12-23,6000000.0,161.0,The Good_ the Bad and the Ugly
431,1997-09-09,501818.0,90.0,Cube
434,2006-03-09,0.0,99.0,Tough Enough
435,2004-05-26,5.44272402E8,124.0,The Day After Tomorrow
440,2007-12-25,4.1797066E7,94.0,Aliens vs Predator: Requiem
441,2001-05-18,705308.0,96.0,Human Nature
442,2004-09-24,2.8E7,100.0,Popular Music
466,1971-06-21,0.0,114.0,Klute
471,1997-01-01,0.0,102.0,Bandyta
481,2005-10-14,0.0,86.0,7 Virgins
483,1990-05-01,1.4560247E7,124.0,Wild at Heart
494,1973-06-14,1458000.0,112.0,Shaft in Africa
535,1983-04-14,9.2921203E7,95.0,Flashdance
540,2004-01-21,0.0,91.0,D.E.B.S.
541,1955-12-14,0.0,119.0,The Man with the Golden Arm
543,1929-06-30,0.0,84.0,Blackmail
549,1996-08-09,3011195.0,108.0,Basquiat
562,1988-07-15,1.40767956E8,131.0,Die Hard
574,1956-06-01,1.025E7,120.0,The Man Who Knew Too Much
597,1997-11-18,1.845034188E9,194.0,Titanic
628,1994-11-11,2.23664608E8,123.0,Interview with the Vampire
647,2005-07-14,0.0,101.0,Final Fantasy VII: Advent Children
648,1946-10-29,0.0,96.0,Beauty and the Beast
663,2007-10-25,1.39352633E8,93.0,Saw IV
665,1959-12-26,1.469E8,212.0,Ben-Hur
674,2005-11-05,8.95921036E8,157.0,Harry Potter and the Goblet of Fire
680,1994-09-10,2.13928762E8,154.0,Pulp Fiction
708,1987-06-29,1.91185897E8,130.0,The Living Daylights
745,1999-08-06,6.72806292E8,107.0,The Sixth Sense
