IND,USD_KOR_avg,WTI_avg,PMI_avg,SCFI_avg,IDLE_FLEET_avg
1.0,1096.6100000000001,93.80250000000001,51.725,1156.4325000000001,14.75
2.0,1128.925,100.23750000000001,53.425,1067.05,16.25
3.0,1067.0925,99.7175,56.525,1006.6125000000001,5.5
4.0,1061.9125,99.635,53.825,1083.51,16.5
5.0,1022.4599999999999,101.3725,56.45,1138.13,5.25
6.0,1073.535,78.14,56.675,1006.585,3.25
7.0,1099.1833333333334,53.35,52.61666666666667,845.5650000000002,11.5
8.0,1163.8383333333334,44.336666666666666,49.96666666666667,625.8116666666666,35.0
9.0,1182.8983333333333,39.63,50.68333333333334,533.8216666666666,50.833333333333336
10.0,1140.445,47.12166666666667,52.23333333333333,759.3333333333334,30.666666666666668
11.0,1142.4316666666666,50.10833333333334,56.28333333333333,863.505,25.666666666666668
12.0,1119.7633333333333,51.791666666666664,58.666666666666664,794.1866666666666,6.166666666666667
13.0,1073.75,62.913333333333334,59.73333333333333,801.5099999999999,6.0
