address,X,Y
7 Jinsamgeori-gil Hongcheon-eup Hongcheon-gun Gangwon-do Republic of Korea,127.888245,37.692252
47-1 Gahwa-ro Gapyeong-eup Gapyeong-gun Gyeonggi-do Republic of Korea,127.515257,37.8239431
871 Gyeongchun-ro Cheongpyeong-myeon Gapyeong-gun Gyeonggi-do Republic of Korea,127.422823,37.7414677
23-28 Dongsong-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.89253300000001,37.6490736
150 Deoksucheon 2-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.895774,37.64859910000001
33 Dongsong-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.896952,37.6490506
210 Samsong-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.89729799999999,37.653141399999996
70 Dongsong-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.89610800000001,37.652653799999996
798 Hoguk-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83710400000001,37.6570282
672 Gwonyul-daero Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.874152,37.6498481
668 Gwonyul-daero Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.87388,37.6494334
11 Hoguk-ro 777beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83436499999999,37.6555828
12 Hoguk-ro 777beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.834511,37.6560425
7-10 Jido-ro 49beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.82343200000001,37.62131160000001
13 Todang-ro 26beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.822905,37.619139399999995
9 Todang-ro 26beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.82275700000001,37.619112200000004
2 Muwon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.832523,37.6130539
91 Sowon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83281799999999,37.613045299999996
22 Muwon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.832633,37.614666799999995
21 Yonghyeon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.835499,37.6146709
50 Yonghyeon-ro 5beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.834978,37.61467920000001
24 Yonghyeon-ro 5beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.834969,37.6135169
7 Yonghyeon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83551299999999,37.6134005
111 Sowon-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83534399999999,37.6130399
259 Hwasin-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.832394,37.6303976
32-17 Hwajung-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.831057,37.6302425
4 Seongsin-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.82898999999999,37.627716799999995
53 Eunbit-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.833611,37.638012599999996
65 Hwajeong-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83346,37.6349761
30 Hwajung-ro 104beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83320800000001,37.6359939
85 Baegyang-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.833712,37.633471899999996
11 Hwasin-ro 272beon-gil Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.83100900000001,37.6314138
59 Baegyang-ro Deogyang-gu Goyang-si Gyeonggi-do Republic of Korea,126.833253,37.631083600000004
33 Gangsong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.79278500000001,37.6440562
49 Gangsong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.792057,37.6448297
41 Gangsong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.791549,37.644414399999995
74-17 Ilsan-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.790926,37.64417
78 Ilsan-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.790415,37.6445205
33 Gangseok-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.785505,37.645863
47 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.791074,37.63976450000001
1005 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.790846,37.640376700000004
10 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.79038200000001,37.64020470000001
8 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.79068899999999,37.63995300000001
20 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78976899999999,37.6406631
1011 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.790097,37.640934
26 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.789133,37.6411395
38 Ilsan-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.787273,37.641838899999996
30 Ilsan-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78671899999999,37.6414415
19 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.789193,37.6401575
13 Jangbaek-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78996399999998,37.6396724
33 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.790498,37.639294899999996
19 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78921000000001,37.638031299999994
340-38 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78878799999998,37.638895399999996
340-28 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.788315,37.638119700000004
25-37 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78791499999998,37.6392362
340-25 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.787384,37.638793799999995
358-26 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.786702,37.6392971
25-53 Gyeongui-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78723400000001,37.639748600000004
358-25 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78614499999999,37.63990870000001
16 Ilsan-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.785498,37.6403761
340-11 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78683000000001,37.6382071
336 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78773799999999,37.6375961
1047 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78717900000001,37.6430911
1055 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.786441,37.64367539999999
60 Yeolliji-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.756244,37.660924200000004
1347 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.767622,37.6649747
1341 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.768303,37.66462470000001
43-50 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.766805,37.6652974
32-9 Gobong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.766297,37.66462070000001
39 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76846499999999,37.663462700000004
17 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.766406,37.662179200000004
11 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76588600000001,37.6618539
20-32 Gobong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.765317,37.6627357
20-26 Gobong-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76491899999999,37.6631583
7-63 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76468999999999,37.66377960000001
7-45 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76415800000001,37.6634541
688 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76396799999999,37.6626519
678 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76478700000001,37.661815600000004
672 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.765128,37.6614469
662 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.765856,37.6607276
8-28 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76643500000002,37.660143100000006
8-38 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76678799999999,37.659783399999995
640 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.767322,37.6592169
86-1 Jungang-ro 1275beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.767642,37.6585958
20-18 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76728200000001,37.661297999999995
8-19 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.766795,37.6609907
12 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.766352,37.6613773
38-10 Jungang-ro 1275beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.770867,37.659890600000004
1305-30 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.76963799999999,37.66150089999999
32-23 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.769094,37.6618152
40 Mugunghwa-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.768796,37.6628777
1233 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.77445900000001,37.6564648
1227 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.77481200000001,37.6558348
223 Baengma-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.774452,37.6550232
12 Baengma-ro 213beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.773931,37.6548511
60 Jeongbalsan-ro 42beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.773545,37.6553549
24 Jeongbalsan-ro 42beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.773769,37.655977
36 Baengma-ro 213beon-gil Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.773202,37.656138
606 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.769451,37.65613070000001
596 Hosu-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.77046200000001,37.655511
1195 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.77646299999999,37.65324320000001
1322 Jungang-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.770742,37.6636834
312-7 Tanjung-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.779824,37.6929464
16-10 Haneulmaeul 1-ro Ilsandong-gu Goyang-si Gyeonggi-do Republic of Korea,126.78708799999998,37.6745349
757 Ilsan-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.75008600000001,37.6757953
1542 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.750631,37.675292
1560 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.748623,37.6760355
271 Gangseong-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.746986,37.6771492
1581 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.74608300000001,37.676129100000004
1563 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.74791,37.6755114
1557 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.74863700000002,37.675197600000004
180 Juhwa-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.749342,37.6745054
240 Kintex-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.751071,37.6658417
217-21 Kintex-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.745364,37.6644419
217-23 Kintex-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.745934,37.6634791
548 Ilsan-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.767455,37.67819160000001
40 Juhwa-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.763281,37.6683627
1455 Jungang-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.758513,37.6708847
16 Ilhyeon-ro 41beon-gil Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.7617,37.6914333
34 Ilhyeon-ro Ilsanseo-gu Goyang-si Gyeonggi-do Republic of Korea,126.762441,37.690146500000004
